#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
353,51703,377,0.3715231,2.395043,1.132355,2.712039,-5.188211,1577.36,0.02278602
706,52199,177,0.261786,0.432131,1.988973,0.8594971,-11.99727,3686.314,0.02895055
1433,53035,134,0.3902647,0.207979,1.787916,0.371849,-11.02085,1103.879,0.01115778
1575,53493,495,0.2688824,0.1576048,2.475892,0.3902123,-17.37642,1758.446,0.05115553
1776,53858,612,0.1341881,0.6722579,2.341709,1.574232,-13.2989,1311.827,0.03179598
2123,53793,443,0.07700984,1.19632,1.44043,1.723215,-5.379469,1357.127,0.0183279
451,51908,133,0.1228317,0.8942135,2.042021,1.826002,-11.01267,2732.305,0.02732966
541,51959,571,0.3637669,2.53412,1.493935,3.785811,-5.741796,209.9337,0.05195224
637,52174,259,0.5993487,0.2523734,2.374881,0.5993569,-11.40223,3992.194,0.07477354
739,52520,388,0.3257094,0.38085,2.078075,0.7914349,-18.63049,2456.67,0.06595281
1814,54555,573,0.129768,2.350794,2.034936,4.783716,-14.6751,1777.444,0.02729913
2034,53466,230,0.5083145,0.3777993,2.638463,0.9968096,-10.54055,2134.027,0.02323727
2135,53827,340,0.3636065,2.62329,1.594745,4.183478,-6.038949,602.8087,0.01770588
2147,53491,162,0.1247753,2.379307,2.309704,5.495494,-13.20133,2117.616,0.02633778
2223,53793,280,0.362186,0.7254302,1.755967,1.273831,-8.303109,1378.177,0.02741549
300,51943,136,0.5997332,0.4396927,2.281435,1.00313,-19.9844,2676.499,0.03940573
432,51884,246,0.1179971,0.8131903,2.092379,1.701502,-24.48447,4723.809,0.04918799
513,51989,110,0.1922005,0.5624879,1.607509,0.9042041,-8.170201,637.2264,0.02727352
1738,53051,419,0.2009477,0.2598948,2.243477,0.5830679,-21.42677,3135.877,0.03650901
2425,54139,442,0.5659922,1.199032,1.610652,1.931223,-7.778267,422.1902,0.04197626
328,52282,575,0.1051187,0.2684556,2.136301,0.573502,-27.60482,2409.637,0.01900618
960,52425,214,0.1238792,0.3860639,2.510459,0.9691976,-14.37984,1209.838,0.008508174
963,52643,545,0.2858998,0.8719287,2.085126,1.818081,-11.2408,2536.629,0.01648002
976,52413,574,0.4689836,0.1869689,2.345961,0.4386216,-20.90205,1784.66,0.03079161
1585,52962,477,0.2823286,3.373863,1.969385,6.644434,-15.28489,1308.529,0.03928971
1726,53137,566,0.1918546,0.4303851,1.552831,0.6683153,-6.32075,767.5447,0.03961959
1795,54507,106,0.2418267,0.8111939,1.257553,1.02012,-3.992025,655.4658,0.04276688
2119,53792,479,0.1637161,0.7637355,2.185774,1.669353,-15.89823,2766.563,0.0166308
833,52314,615,0.2399645,0.3836562,1.798113,0.6898571,-8.113574,1138.498,0.01753805
1810,53794,504,0.4596158,0.2570447,2.435954,0.6261491,-14.90093,1133.808,0.02485074
2289,53708,130,0.1926965,0.5554662,1.07923,0.5994757,-4.454331,1327.595,0.04243698
607,52368,625,0.2755408,0.4925191,2.270702,1.118364,-26.61959,1777.994,0.01909766
755,52235,46,0.460881,2.953811,1.342597,3.965776,-5.898989,1378.274,0.06995784
827,52312,23,0.09166554,3.469231,1.166766,4.04778,-5.900719,1084.483,0.03551636
2016,53799,61,0.1829528,1.205465,1.568551,1.890834,-7.393268,1984.522,0.01161656
2229,53823,484,0.1674174,0.4054109,1.633979,0.662433,-10.45688,759.5152,0.02117208
2617,54502,143,0.2217153,0.3409975,2.133412,0.7274879,-24.37148,1593.179,0.02738428
644,52173,413,0.5896417,0.5348418,2.407628,1.2877,-12.73695,1035.502,0.04080473
1443,53055,358,0.2248686,0.1243922,2.379898,0.2960408,-21.6249,4215.459,0.02253275
2506,54179,9,0.3743551,1.546544,2.201006,3.403952,-11.18361,877.0047,0.0230818
329,52056,577,0.4580766,0.721276,2.022363,1.458682,-15.52481,1135.089,0.02008798
355,51788,528,0.3100284,0.3002921,2.161496,0.6490802,-10.75377,563.2105,0.02610326
414,51869,328,0.1846759,0.4732547,2.381596,1.127101,-20.72246,3112.576,0.1184658
829,52296,275,0.1516362,0.8140226,1.346157,1.095802,-5.502056,503.3342,0.03367133
978,52441,524,0.1103326,0.7790549,2.220839,1.730155,-31.24908,7375.022,0.0337978
990,52465,427,0.08385639,0.3550133,2.289727,0.8128837,-20.36466,2930.013,0.0684317
1426,52993,551,0.05348795,0.3851112,1.802085,0.694003,-15.99699,2276.364,0.01755651
1625,53140,134,0.08044197,0.230475,2.171605,0.5005008,-25.66527,2319.595,0.02060772
2606,54154,614,0.552017,0.2476668,1.975753,0.4893284,-9.709053,1450.117,0.02188222
883,52430,320,0.1773402,3.028183,1.61394,4.887306,-9.267194,2174.339,0.015641
1811,53533,122,0.2306872,0.4513361,2.079299,0.9384628,-16.43305,1004.002,0.02773762
1923,53319,338,0.4083879,1.99758,1.351248,2.699226,-5.735824,545.8138,0.03638606
2931,54590,496,0.449279,0.594763,2.625688,1.561662,-8.402205,173.3797,0.007120453
490,51929,237,0.1206493,0.3550909,2.015965,0.7158508,-11.93238,967.4325,0.01723473
542,51993,560,0.1322984,0.3498048,1.98563,0.6945829,-15.90344,1274.526,0.0506738
551,51993,492,0.2344913,0.4098286,2.049365,0.8398883,-17.4852,2229.068,0.02005281
1610,53144,469,0.121609,0.3686905,1.689524,0.6229115,-8.866331,982.1518,0.03196147
1949,53433,472,0.5306148,2.822379,1.46059,4.122338,-9.254515,1219.554,0.01484899
2094,53851,630,0.1175316,3.506023,1.518456,5.323744,-9.84405,1342.066,0.01869195
2173,53874,354,0.4557629,0.6451375,2.495043,1.609646,-11.65119,509.9599,0.05542863
2512,53877,582,0.5215923,0.4139671,2.223392,0.9204111,-6.979514,673.3281,0.04497579
490,51929,412,0.3402001,0.4397671,1.86727,0.821164,-10.70056,565.5311,0.01523073
526,52312,537,0.2688896,1.205106,1.957225,2.358663,-9.82467,1217.897,0.02380977
1415,52885,144,0.1534853,2.055553,2.154447,4.428579,-27.59008,5517.438,0.05673105
1610,53144,249,0.1756542,0.6838572,1.749313,1.19628,-9.266861,1434.56,0.02661542
1792,54270,260,0.374943,0.1460422,1.475846,0.2155358,-5.250967,435.5359,0.02854615
1795,54507,457,0.153836,1.166074,1.827619,2.131139,-13.55527,4630.266,0.03453428
2121,54180,459,0.341655,0.4233499,2.316276,0.9805952,-23.85095,2016.253,0.015595
2729,54419,574,0.4709734,2.472225,1.581406,3.909592,-6.567808,208.7716,0.04612916
2770,54510,433,0.1965366,0.2777563,2.453447,0.6814605,-18.49032,4131.215,0.02233633
2972,54586,148,0.08366632,0.6722247,2.606258,1.751991,-28.1305,3610.479,0.03013047
1579,53473,88,0.08424754,1.241625,1.260422,1.564971,-3.723757,498.1334,0.03708306
1819,54540,140,0.1743191,0.7795799,2.114187,1.648178,-17.07933,3329.567,0.04324507
2142,54208,637,0.06449452,0.6218057,2.219383,1.380025,-21.8575,6220.282,0.02924547
2155,53820,341,0.3557244,0.2529558,1.768658,0.4473922,-9.797135,900.2259,0.04568139
2202,53566,592,0.1490557,0.2783858,2.077073,0.5782274,-20.19644,1958.264,0.04924946
2266,53679,335,0.3885836,0.7690091,2.036093,1.565774,-9.315866,1254.715,0.03562643
2520,54584,442,0.4358573,3.537334,1.718534,6.07903,-11.22126,178.4678,0.05334958
740,52263,549,0.2349658,1.671452,1.628441,2.721861,-9.961286,802.0439,0.05002049
902,52409,134,0.0563294,1.28257,2.374651,3.045658,-20.472,2322.049,0.0146779
1309,52762,443,0.05126621,0.9567834,1.988993,1.903035,-11.11801,1218.343,0.01942769
1440,53084,204,0.1548114,0.2134766,2.031401,0.4336566,-19.68156,3967.237,0.01640413
1467,53115,216,0.3228939,0.1779074,2.056054,0.3657872,-10.66139,3176.712,0.0104667
1791,54266,46,0.4389866,0.3758007,2.280435,0.8569891,-17.74196,1027.594,0.02399247
1820,54208,13,0.3068048,3.000192,2.066225,6.199072,-16.62766,1575.622,0.06355516
2147,53491,605,0.1444477,0.6052293,1.883369,1.13987,-8.880097,686.9014,0.02831765
2222,53799,453,0.05897063,0.4123738,1.908711,0.7871025,-18.73977,2150.045,0.02191551
2227,53820,85,0.3244995,0.2414045,2.137161,0.5159202,-16.77513,929.8518,0.02124372
2345,53757,522,0.3291404,0.196285,2.230729,0.4378586,-18.14079,3635.021,0.02198753
1059,52618,628,0.06183716,0.9926052,1.898506,1.884467,-12.15111,1786.943,0.04036992
1605,53062,135,0.4951543,1.021166,1.260461,1.28714,-4.666655,282.177,0.02124032
2347,53757,151,0.5113347,0.6893487,2.164921,1.492386,-16.70732,1452.441,0.02648882
2931,54590,82,0.4887098,1.236475,2.690914,3.327248,-9.188817,296.015,0.01365916
565,52225,383,0.2967729,0.1707854,2.185541,0.3732586,-16.616,2577.094,0.04973055
812,52352,355,0.399824,0.1194817,2.264961,0.2706213,-16.97565,1693.89,0.01843494
1843,53816,584,0.4980763,0.4476209,2.396323,1.072644,-12.03965,557.34,0.01577194
