#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,e_bv_sfd,oiii_5007_flux_err,h_beta_flux_err,h_alpha_flux_err,nii_6584_flux_err,ratio_oiii_hb,ratio_nii_ha
421,51821,428,3190.005,361.6836,1626.058,3140.456,0.09704659,32.17569,14.29919,28.27699,33.25869,8.819876,1.931331
427,51900,528,168.3746,109.4587,395.4808,262.1568,0.05856042,11.40574,8.809713,15.94549,16.60967,1.538248,0.6628814
434,51885,470,50.62443,37.42976,132.2149,116.9346,0.05082536,3.85932,3.364293,4.919664,4.991438,1.352518,0.8844281
450,51908,585,45.54643,20.32749,92.99428,103.2991,0.01901476,4.188739,3.555561,5.231034,5.343668,2.240632,1.110812
490,51929,368,51.52697,29.01519,110.031,130.1001,0.01447439,3.938634,3.084471,4.439843,5.001852,1.775862,1.182395
493,51957,200,2068.018,1459.279,5943.818,2443.335,0.01919761,21.60298,15.96255,44.6895,21.38391,1.41715,0.4110716
1927,53321,387,105.8863,106.1967,329.5918,428.9391,0.04284574,10.68658,10.04088,16.68064,17.48588,0.9970766,1.301425
2657,54502,168,58.03428,20.74319,84.8021,137.0748,0.02590713,5.41664,3.865094,5.877029,7.019921,2.797751,1.616408
2485,54176,455,59.41792,35.97429,104.926,83.23093,0.0220395,5.758434,4.830225,7.150793,7.167124,1.651677,0.7932346
2488,54149,1,253.2187,155.6001,446.0435,109.0534,0.02283886,15.32682,11.83371,19.25169,16.3629,1.627369,0.2444905
968,52412,386,616.2593,192.1399,676.93,230.3844,0.02144711,9.473064,5.992562,10.04337,7.478647,3.207347,0.3403371
394,51913,561,85.03702,54.687,149.1404,150.8927,0.02246952,3.353854,3.352904,4.543703,4.106205,1.554977,1.011749
394,51913,577,25.18576,11.15251,39.5629,42.805,0.0245372,2.308312,2.100574,2.609937,2.458429,2.258305,1.081948
812,52352,483,243.3211,942.5361,4075.795,1848.884,0.0216573,9.806078,13.06738,34.49286,19.06944,0.2581558,0.4536255
853,52374,520,298.3256,152.5538,581.9186,664.0901,0.02918467,12.07237,9.302724,15.59973,16.12676,1.955543,1.141208
341,51690,151,124.5564,809.8279,3593.997,1491.908,0.03420827,7.466159,11.03908,27.80362,15.15351,0.153806,0.4151112
349,51699,187,937.1672,599.9487,1766.253,326.4864,0.02580774,6.487122,4.775586,10.78336,2.819829,1.562079,0.1848469
1997,53442,272,186.5761,953.8058,3996.425,1792.783,0.02486488,6.593705,10.90772,29.6949,13.90315,0.1956122,0.4485967
910,52377,489,92.90167,112.7672,482.8284,488.6393,0.03848384,7.545059,5.905461,10.69371,11.96122,0.823836,1.012035
1191,52674,265,474.108,2923.707,11551.39,5544.387,0.07161565,18.33411,33.38526,90.17013,45.72739,0.1621599,0.4799757
574,52355,458,603.2176,1152.151,4758.372,1714.037,0.02827914,9.77308,11.23137,37.98169,14.98945,0.5235578,0.3602149
469,51913,130,1485.509,386.1893,1945.398,2058.439,0.02880873,13.98191,7.099979,16.40048,15.17499,3.846583,1.058107
1948,53388,132,14971.08,3191.568,10434.5,575.1768,0.0132388,110.4852,26.70438,84.9646,8.249805,4.690823,0.05512263
2477,54058,454,38.96968,26.90616,88.25185,101.0841,0.02334632,6.802721,4.357965,7.090065,9.705183,1.448355,1.145405
2095,53474,347,844.5275,788.1033,3538.996,3200.918,0.02184724,22.08966,18.41108,45.47305,42.40879,1.071595,0.9044706
2127,53859,426,5256.093,508.3492,2076.596,2522.573,0.0184873,48.16209,14.17074,27.93225,27.99797,10.33953,1.214763
1665,52976,574,41.38725,41.11842,111.9505,91.13499,0.2109157,3.848918,3.426552,3.547857,3.856897,1.006538,0.8140647
1683,53436,577,105.7228,108.8966,289.6988,433.0215,0.01770907,11.55436,12.76814,20.99539,19.65799,0.9708541,1.49473
1704,53178,369,145.5356,71.17275,197.6694,177.0869,0.01651528,10.59037,8.133725,12.34319,12.69388,2.044822,0.8958739
390,51900,407,82.27954,505.3761,2517.918,957.5192,0.02469352,3.270447,4.637402,11.96956,5.976246,0.1628085,0.3802821
390,51900,625,43.62145,25.34258,87.25851,121.3354,0.02226972,3.485669,3.088897,3.983799,4.194317,1.721271,1.390528
392,51793,517,1796.376,736.6923,3303.951,2371.508,0.02181816,20.85633,11.97043,30.03782,22.74912,2.438435,0.7177794
394,51913,53,19.07298,20.03215,54.16376,72.97021,0.03766875,2.042859,2.150571,2.635852,2.552143,0.9521188,1.347215
2516,54241,493,68.05516,417.0417,1877.448,710.3118,0.04888898,3.685617,5.422904,14.39349,7.285473,0.1631855,0.3783389
328,52282,583,42.79592,19.54442,49.43196,34.58287,0.01699408,3.335696,2.96475,3.769031,3.326279,2.189675,0.6996054
355,51788,30,100.043,103.394,337.1686,291.1169,0.0318901,7.734797,6.983674,10.84846,10.31517,0.9675905,0.8634165
1316,52790,336,201.4387,103.3108,339.6618,293.2003,0.01389496,12.18236,10.25643,16.19833,15.66527,1.949832,0.8632122
513,51989,378,582.5078,1376.924,5056.438,2650.44,0.02331784,7.232353,10.50892,26.81072,13.57479,0.4230502,0.5241714
527,52342,24,259.5525,1035.821,4047.246,2067.57,0.02363596,9.704054,13.81405,36.36744,19.29077,0.2505766,0.5108586
1205,52670,95,704.2949,968.8214,4344.326,1926.079,0.03070076,14.09209,13.62801,36.43396,19.39206,0.7269605,0.4433552
2880,54509,442,374.064,360.9016,1634.89,2166.352,0.02668058,15.08777,12.28932,25.17915,27.35969,1.036471,1.325075
2172,54230,164,1908.021,1389.635,4664.218,2376.142,0.03826356,16.0579,12.91928,26.9296,15.27851,1.373037,0.5094407
2742,54233,599,63.36956,39.62777,81.65417,78.99485,0.02332442,7.235195,5.998344,8.147587,8.698913,1.59912,0.967432
298,51955,65,111.1376,58.32586,161.0728,128.6146,0.02646662,7.04607,5.689563,8.028925,8.097485,1.90546,0.7984875
301,51942,347,324.1389,589.4449,2299.229,1348.496,0.04526184,8.940432,9.630146,20.39949,14.53949,0.5499052,0.5864994
454,51908,11,128.5184,95.04176,346.5287,429.9887,0.0266545,8.473617,7.408399,12.2113,13.0071,1.352231,1.240846
491,51942,423,1133.017,754.8333,2355.37,391.5725,0.01458613,8.281463,5.709908,13.34936,3.504659,1.501017,0.1662467
1923,53319,629,375.864,575.6002,2068.504,593.111,0.03737852,5.281759,5.900801,13.64887,5.842029,0.652995,0.2867343
2240,53823,520,92.66433,203.3089,980.7279,586.5858,0.01027182,9.715348,8.565902,17.17576,16.03173,0.4557809,0.5981126
2100,53713,314,133.5058,60.168,453.1498,666.3714,0.03117513,10.86272,8.801561,14.74677,15.75797,2.218885,1.470532
1665,52976,247,63.08224,20.32691,65.04338,76.72047,0.2044649,4.591435,3.322143,2.929516,4.294755,3.103385,1.179528
1665,52976,501,44.89263,79.70309,197.6471,146.7658,0.1650338,5.753958,5.594975,7.744356,7.892333,0.5632483,0.7425649
1584,52943,32,422.3838,72.25724,166.2164,167.7037,0.04445042,8.846781,4.335412,5.112483,5.661834,5.845557,1.008948
2028,53818,163,2376.487,2254.908,7951.86,4753.038,0.02496434,24.63839,22.13372,49.67749,32.37704,1.053917,0.5977265
982,52466,461,503.1044,322.9061,744.0453,874.8703,0.1020418,20.20856,18.7202,29.18538,28.7188,1.558051,1.175829
1807,54175,504,113.2301,78.85376,300.3574,227.9519,0.03128556,6.032022,4.240975,7.277215,7.461024,1.435951,0.7589357
1229,52723,476,31.9018,103.7708,488.7152,173.7966,0.02802873,5.324211,4.986674,9.106459,7.732791,0.3074257,0.3556193
769,54530,236,599.4363,607.5152,2917.169,1620.505,0.01210464,8.212416,7.592417,21.46654,12.3134,0.9867017,0.5555061
520,52288,579,87.40623,200.7558,758.567,234.8429,0.02790264,3.046349,3.377355,6.488899,3.697485,0.4353859,0.3095876
528,52022,346,210.1498,663.3504,2765.524,1449.795,0.02976287,4.359606,6.083258,14.74116,8.544809,0.3168005,0.5242386
538,52029,639,163.1563,212.0451,859.5497,622.0557,0.05086496,13.19393,11.8574,24.70643,25.07043,0.7694417,0.7236995
1449,53116,103,8187.16,1325.873,5324.914,4272.667,0.01641826,54.52469,16.7265,43.35706,32.47322,6.174918,0.8023917
1617,53112,505,83.06089,44.1208,97.21618,74.62664,0.04745861,10.48813,7.9677,11.20378,12.20214,1.882579,0.767636
473,51929,29,52.35191,35.74885,143.8768,174.7336,0.04334017,6.195063,5.803112,8.199516,7.834767,1.464436,1.214467
1936,53330,49,53.60918,66.61237,386.0497,303.3511,0.02598597,8.991663,7.522214,12.86977,13.35402,0.8047931,0.7857825
1020,52721,103,155.4445,77.28137,202.3219,242.2809,0.02187341,12.34192,11.4072,17.12277,16.43388,2.01141,1.197502
1785,54439,379,157.5523,103.9542,386.7274,454.2625,0.06345615,13.71316,12.0442,24.34729,25.35846,1.515593,1.174632
1801,54156,434,92.37119,55.98993,170.2104,227.0901,0.03639364,8.354496,7.58337,11.47503,11.89959,1.649782,1.334173
835,52326,130,121.3114,56.37286,214.6009,436.0734,0.04370457,10.09718,9.20574,13.96183,14.77463,2.151946,2.03202
854,52373,359,81.99693,309.3317,1598.466,807.6415,0.03420637,6.046089,6.557569,15.61671,11.14215,0.2650777,0.5052603
367,51997,235,78.43416,115.0233,612.879,497.0024,0.03816071,3.692496,3.346775,5.52207,5.038947,0.6818982,0.8109307
1267,52932,475,201.5748,206.0101,662.5453,450.8914,0.03734793,10.71545,10.70756,18.00977,15.4779,0.9784706,0.6805443
541,51959,236,439.2678,539.1512,1928.083,556.5782,0.04286865,4.511328,4.549541,11.34663,3.668116,0.8147395,0.2886693
548,51986,503,2703.689,1363.554,4564.237,804.0414,0.04175345,16.35802,8.215136,22.95731,4.158231,1.982826,0.1761612
665,52168,398,355.7972,272.3611,978.3191,871.1136,0.02407514,15.74606,15.34225,26.8807,23.99163,1.306344,0.8904186
710,52203,247,266.7648,159.6467,627.265,1293.288,0.07100736,18.85644,15.4537,27.59264,32.40283,1.67097,2.061789
1749,53357,504,66.67204,48.74186,161.1745,194.1384,0.02876568,4.432194,3.915164,5.904143,5.975096,1.36786,1.204523
890,52583,580,140.6149,67.60653,162.4741,146.2638,0.05632152,11.33928,9.012314,13.37847,13.65172,2.079902,0.9002283
1621,53383,48,157.6654,326.0396,1755.793,1120.959,0.01556276,8.240476,8.330744,18.69861,15.23662,0.4835774,0.6384348
