#Table1
specobjid,plate,mjd,fiberid,z,oiii_5007_flux,oiii_5007_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,h_alpha_flux,h_alpha_flux_err,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw,sii_6717_flux1,sii_6731_flux1,sigma_forbidden
300682647191971840,267,51608,245,0.01946783,21.52299,0.9800097,15.58486,0.9422239,16.08556,0.7296982,60.90096,1.093727,13.18931,8.636026,2.867806,-21.23338,13.18931,8.636026,30.62449
301741477308950528,268,51633,1,0.06874236,610.9689,6.511196,256.4054,4.280243,114.4482,2.177,878.3365,7.679183,111.0991,72.3088,16.69975,-147.2442,111.0991,72.3088,41.31636
301854452128704512,268,51633,412,0.06605762,16.71365,2.149742,22.87721,1.827062,41.5078,2.021449,74.05566,2.185173,26.27045,18.84346,9.408949,-5.471143,26.27045,18.84346,78.43636
301870944803121152,268,51633,472,0.06499501,32.18747,2.651756,149.9444,3.270072,286.4166,3.799428,666.8866,6.212453,103.7685,72.77163,12.19217,-36.90224,103.7685,72.77163,110.7728
301902280884512768,268,51633,586,0.04001235,27.98774,1.980956,37.92846,1.91475,39.51387,1.587863,139.3271,2.55746,34.04093,20.77939,3.896041,-16.68458,34.04093,20.77939,40.92614
301902555762419712,268,51633,587,0.04627055,9.594817,1.732352,39.89712,2.379163,50.62418,1.773959,166.8309,3.157361,34.48063,23.345,2.519433,-26.61001,34.48063,23.345,30.24448
302971560589813760,269,51910,380,0.1333117,296.3896,4.923875,193.0666,3.68391,111.982,2.586612,707.756,7.033742,127.3596,76.70581,28.89728,-77.6831,127.3596,76.70581,65.17911
304062550985697280,270,51909,253,0.1170835,101.8531,3.679276,193.6312,4.116193,555.0167,6.2371,1276.945,11.01137,239.0767,179.6871,45.91722,-91.06149,239.0767,179.6871,151.5393
304090863410112512,270,51909,356,0.1763657,40.10643,5.465281,75.27764,3.383152,194.779,5.459264,359.8556,6.56967,70.18742,63.27481,18.76341,-27.64161,70.18742,63.27481,133.688
304120550224062464,270,51909,464,0.09017465,16.26414,3.009098,38.52014,2.772796,98.39067,3.004477,228.9653,3.864571,46.73117,32.41906,8.176981,-19.53261,46.73117,32.41906,139.6545
305177455340054528,271,51883,213,0.04417122,25.27775,2.238668,66.58456,2.452173,69.42178,2.316097,221.2297,3.052207,47.89973,35.07165,6.34065,-24.32699,47.89973,35.07165,54.25776
305179379485403136,271,51883,220,0.1720573,28.14173,3.030903,78.85338,3.050345,238.3786,4.465677,547.5474,5.419255,95.41105,62.84092,18.83125,-53.39648,95.41105,62.84092,131.3288
305202469229586432,271,51883,304,0.0626008,20.41326,2.85389,9.897922,1.931388,16.88344,2.286415,36.1058,2.4269,19.45479,13.64141,11.89631,-3.399599,19.45479,13.64141,123.9559
305215938247026688,271,51883,353,0.09473247,22.17852,2.43486,65.2823,2.647533,78.73569,2.268443,263.4732,3.646116,44.25368,36.1246,8.277167,-32.42502,44.25368,36.1246,62.78033
305268165049346048,271,51883,543,0.09665108,26.80261,3.052968,75.13208,3.193314,133.6384,3.294415,293.0241,4.461723,64.54284,43.97066,7.45864,-18.31081,64.54284,43.97066,130.3924
306249480150214656,272,51941,17,0.1269418,16.03714,2.762497,36.45705,2.905071,72.00704,2.771315,179.7695,4.07441,32.1439,21.43302,7.48191,-15.68464,32.1439,21.43302,102.7179
306254977708353536,272,51941,37,0.1831185,98.70788,4.61606,32.31355,3.717242,160.1631,5.270692,160.3141,4.829614,66.66196,46.64635,26.42165,-11.15851,66.66196,46.64635,147.7551
306396264952522752,272,51941,551,0.09801202,16.01442,2.274795,60.06776,2.495328,78.56626,2.267035,222.8126,3.189388,43.39119,28.86974,5.819684,-29.9374,43.39119,28.86974,70.39573
