#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
1059,52618,628,0.06183716,0.9926052,1.898506,1.884467,-12.15111,1786.943,0.04036992
572,52289,442,0.1617697,0.336162,2.26272,0.7606404,-16.94715,1354.625,0.03441319
2773,54533,640,0.2134592,0.2488954,1.947451,0.4847117,-14.82997,1652.594,0.03172268
355,51788,414,0.09262062,0.7112553,2.642485,1.879482,-10.94744,1590.3,0.04385718
519,52283,280,0.2402315,1.031102,1.964605,2.025708,-10.43072,2368.552,0.02099199
494,51915,124,0.1842309,1.842156,2.127565,3.919306,-14.36981,1780.146,0.01408172
592,52025,376,0.126024,2.555323,1.560096,3.986547,-9.680372,926.9399,0.04435388
2006,53476,618,0.1863378,0.4702603,1.92204,0.903859,-11.47021,1308.8,0.01489416
1610,53144,469,0.121609,0.3686905,1.689524,0.6229115,-8.866331,982.1518,0.03196147
2094,53851,630,0.1175316,3.506023,1.518456,5.323744,-9.84405,1342.066,0.01869195
542,51993,560,0.1322984,0.3498048,1.98563,0.6945829,-15.90344,1274.526,0.0506738
551,51993,492,0.2344913,0.4098286,2.049365,0.8398883,-17.4852,2229.068,0.02005281
490,51929,237,0.1206493,0.3550909,2.015965,0.7158508,-11.93238,967.4325,0.01723473
2147,53491,162,0.1247753,2.379307,2.309704,5.495494,-13.20133,2117.616,0.02633778
1814,54555,573,0.129768,2.350794,2.034936,4.783716,-14.6751,1777.444,0.02729913
451,51908,133,0.1228317,0.8942135,2.042021,1.826002,-11.01267,2732.305,0.02732966
2246,53767,66,0.0863796,0.5015432,1.797772,0.9016601,-13.28217,2033.969,0.01130901
1923,53319,382,0.1395377,0.1661138,2.44206,0.4056597,-30.15136,3421.211,0.03154486
502,51957,557,0.2201104,0.4174479,2.10458,0.8785526,-13.21841,832.4188,0.06144398
539,52017,586,0.1346648,0.4132285,2.033846,0.8404432,-13.14289,2292.539,0.05099057
476,52314,523,0.05026412,0.642544,2.033772,1.306788,-28.08086,3685.079,0.06889841
1223,52781,471,0.05014781,0.8385926,2.109372,1.768904,-22.88305,3397.969,0.02880776
1419,53144,552,0.09733227,1.025839,2.062574,2.115869,-11.93944,2022.419,0.0167305
833,52314,615,0.2399645,0.3836562,1.798113,0.6898571,-8.113574,1138.498,0.01753805
2289,53708,130,0.1926965,0.5554662,1.07923,0.5994757,-4.454331,1327.595,0.04243698
1443,53055,358,0.2248686,0.1243922,2.379898,0.2960408,-21.6249,4215.459,0.02253275
1600,53090,363,0.190513,0.6440513,1.016035,0.6543786,-4.141082,367.7924,0.02776245
585,52027,368,0.1058275,0.2160255,2.210019,0.4774205,-31.98537,4298.79,0.02938451
2281,53711,151,0.06521195,1.913376,2.563015,4.90401,-11.93965,2226.578,0.0230756
1986,53475,490,0.09574385,0.4794881,1.004221,0.481512,-4.365608,640.7239,0.0190759
1866,53314,508,0.1415131,0.3805769,2.229087,0.8483391,-15.2922,4447.396,0.08946528
1381,53089,447,0.08168268,0.3039684,2.128531,0.6470062,-12.61329,1508.802,0.01165435
1575,53493,495,0.2688824,0.1576048,2.475892,0.3902123,-17.37642,1758.446,0.05115553
706,52199,177,0.261786,0.432131,1.988973,0.8594971,-11.99727,3686.314,0.02895055
2123,53793,443,0.07700984,1.19632,1.44043,1.723215,-5.379469,1357.127,0.0183279
1776,53858,612,0.1341881,0.6722579,2.341709,1.574232,-13.2989,1311.827,0.03179598
973,52426,114,0.1632425,0.1671373,2.464462,0.4119034,-23.87314,5054.773,0.02267168
650,52143,279,0.07390003,2.542713,2.03065,5.163361,-19.92488,2517.656,0.03201083
974,52427,4,0.2075965,0.6764649,1.717576,1.16188,-8.412434,1538.251,0.02800488
403,51871,550,0.1634896,1.306235,1.778036,2.322533,-15.5128,3367.793,0.02893843
1277,52765,332,0.2055347,0.5995306,1.80958,1.084898,-10.36662,1431.322,0.01941598
2613,54481,342,0.06355042,1.093161,1.824435,1.994401,-11.70968,3590.22,0.02681515
2771,54527,419,0.2610683,0.2434501,2.117563,0.515521,-14.25335,1618.641,0.02582617
2774,54534,430,0.1098744,0.8757405,1.214635,1.063705,-5.147871,1842.363,0.0324995
1579,53473,88,0.08424754,1.241625,1.260422,1.564971,-3.723757,498.1334,0.03708306
2142,54208,637,0.06449452,0.6218057,2.219383,1.380025,-21.8575,6220.282,0.02924547
1819,54540,140,0.1743191,0.7795799,2.114187,1.648178,-17.07933,3329.567,0.04324507
2202,53566,592,0.1490557,0.2783858,2.077073,0.5782274,-20.19644,1958.264,0.04924946
827,52312,23,0.09166554,3.469231,1.166766,4.04778,-5.900719,1084.483,0.03551636
607,52368,625,0.2755408,0.4925191,2.270702,1.118364,-26.61959,1777.994,0.01909766
2229,53823,484,0.1674174,0.4054109,1.633979,0.662433,-10.45688,759.5152,0.02117208
