plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3,ratio_oiii_hb,ratio_nii_ha
2505,53856,538,110.7594,65.37457,127.4131,120.7691,11.429,11.504,10.812,-0.07499981,0.6919994,1.694227,0.9478545
655,52162,341,3904.738,2039.811,7974.744,1267.244,12.186,12.019,7.916,0.1669998,4.103,1.914265,0.1589071
1666,52991,81,110.6979,658.7897,2933.444,1293.396,12.672,12.444,8.344,0.2279997,4.1,0.1680322,0.4409137
1666,52991,549,194.7305,850.7734,4459.566,1679.706,10.836,10.612,6.586,0.224,4.026,0.2288864,0.3766523
2527,54569,568,126.8201,114.5313,550.9326,670.4665,10.908,10.885,8.505,0.02299976,2.38,1.107296,1.216966
566,52238,433,120.4518,31.88703,119.6294,122.1225,11.622,11.714,9.985,-0.09200001,1.729,3.777454,1.02084
571,52286,265,60.33906,38.31512,132.6429,139.7782,11.741,11.809,10.388,-0.06799984,1.421,1.574811,1.053794
2746,54232,84,130.9417,60.57459,174.9685,265.3135,10.813,10.908,9.684,-0.09500027,1.224,2.161661,1.51635
2636,54082,64,154.6154,30.86487,192.6405,169.184,12.477,12.402,9.638,0.07499981,2.764001,5.009431,0.8782368
1444,53054,587,143.7628,1259.272,5752.388,2078.238,9.74,9.589,6.186,0.151,3.403,0.1141635,0.3612826
2290,53727,513,39.0416,112.2152,413.1414,212.8029,11.595,11.629,9.468,-0.03399944,2.160999,0.3479174,0.5150849
1927,53321,489,1555.704,1524.189,5754.761,1616.687,12.117,11.884,7.572,0.2329998,4.312,1.020676,0.2809303
832,52312,529,186.219,145.7126,571.0969,308.3112,11.319,11.422,9.693,-0.1029997,1.729,1.277988,0.539858
760,52264,548,99.20126,369.6912,1376.463,457.9238,12.42,12.334,8.878,0.08600044,3.455999,0.2683355,0.3326814
409,51871,157,172.1281,557.9153,2275.672,1067.817,11.021,11.027,8.122,-0.006000519,2.905001,0.3085201,0.4692313
959,52411,513,557.58,72.47333,487.1251,743.6385,11.092,10.94,8.402,0.1520004,2.537999,7.693589,1.526586
2608,54474,171,90.90462,77.39585,216.7457,262.5958,10.52,10.536,8.416,-0.01599979,2.12,1.174541,1.211539
1052,52466,280,201.1432,106.6309,432.9888,737.5605,10.615,10.613,8.366,0.001999855,2.247,1.88635,1.703417
587,52026,425,78.46451,39.84615,108.7614,104.7426,11.345,11.401,10.824,-0.05599976,0.5769997,1.969187,0.9630498
1001,52670,567,287.9846,1364.025,7176.116,3233.772,11.02,10.838,6.748,0.1820002,4.09,0.2111285,0.4506299
1397,53119,35,223.8257,726.2488,3684.814,1663.784,11.047,10.962,7.509,0.08500004,3.453,0.3081942,0.4515246
450,51908,396,34.94878,54.64624,266.0399,163.192,12.005,11.969,8.802,0.03600025,3.167,0.6395459,0.6134117
1807,54175,585,105.9138,58.4962,170.5047,187.1431,11.138,11.219,9.988,-0.08100033,1.231,1.810611,1.097583
1809,53792,333,39.44296,238.4283,1073.726,337.0493,11.279,11.23,7.472,0.04900074,3.757999,0.165429,0.3139062
1813,53903,513,53.54943,169.6114,770.9416,360.8974,11.461,11.491,9.233,-0.02999973,2.258,0.3157183,0.4681255
1665,52976,549,40.61372,21.04591,62.98951,62.81833,11.788,11.846,10.846,-0.05799961,1,1.929768,0.9972824
1673,53462,621,71.1114,48.75182,174.4296,157.8564,11.513,11.58,9.137,-0.06700039,2.443,1.458641,0.9049866
1610,53144,178,118.0305,79.87676,212.322,242.9499,10.586,10.662,9.223,-0.07599926,1.439,1.477658,1.144252
1624,53386,639,274.8371,191.8363,536.1171,371.7639,9.508,9.554,8.499,-0.04599953,1.055,1.432665,0.6934378
1625,53140,317,164.0984,84.0078,228.567,216.8859,10.472,10.551,9.753,-0.07899952,0.7979994,1.953371,0.9488944
770,52282,56,4134.91,4891.938,16079.74,5345.062,11.352,11.206,7.066,0.1459999,4.14,0.8452498,0.3324098
349,51699,305,221.8488,1058.584,5413.769,1898.237,10.46,10.128,5.602,0.3319998,4.526,0.2095712,0.3506313
